# Fix print output for fix statdump
2000 -1.96638463285948 -3.5018766666608 1.53549203380132 1.0256646070532 -0.12953143498904
2001 -1.96595266587652 -3.50125566949433 1.53530300361781 1.02553834031614 -0.124072707158114
2002 -1.96620503542582 -3.50278581338961 1.53658077796378 1.0263918569047 -0.122856047198726
2003 -1.96599284677891 -3.50480690552901 1.5388140587501 1.02788362437058 -0.123686353629348
2004 -1.96625992858338 -3.50760783781378 1.54134790923039 1.02957616376512 -0.126145354312414
2005 -1.96600787811294 -3.50954282303422 1.54353494492128 1.03103704083457 -0.127887759594925
2006 -1.96624663884315 -3.51116046539419 1.54491382655104 1.03195809418673 -0.128936910292602
2007 -1.96608315796522 -3.51140599374115 1.54532283577593 1.03223130060962 -0.128026397812878
2008 -1.9657448322608 -3.51065353560883 1.54490870334803 1.03195467203417 -0.125636350772727
2009 -1.96570490771017 -3.50981382451507 1.5441089168049 1.03142043757874 -0.123073772330362
2010 -1.96583877234455 -3.50949038745945 1.5436516151149 1.03111497317525 -0.121610368660027
2011 -1.96608559339866 -3.51051614258207 1.54443054918341 1.03163527877613 -0.12289848003021
2012 -1.96606223070505 -3.51313741494452 1.54707518423946 1.03340181908755 -0.127761531828935
2013 -1.96599229113627 -3.51744873971627 1.55145644858 1.03632837791645 -0.136154241692119
2014 -1.96629924615779 -3.52305219975478 1.55675295359699 1.03986629124809 -0.146875940903815
2015 -1.96656874295287 -3.52866310145206 1.56209435849919 1.04343419641433 -0.15778358006144
2016 -1.96658190530543 -3.53364501102276 1.56706310571733 1.0467531769436 -0.167788458146571
2017 -1.96643318649142 -3.53810149010028 1.57166830360886 1.04982931695726 -0.176901730159576
2018 -1.96702805521867 -3.54306670217309 1.57603864695442 1.05274858087497 -0.186150926747251
2019 -1.96712023151111 -3.54734548441946 1.58022525290835 1.05554511348868 -0.194267025647689
2020 -1.96730981531229 -3.55150845196774 1.58419863665545 1.05819921978812 -0.201654243661691
2021 -1.96713253491617 -3.55498705885491 1.58785452393874 1.06064124756247 -0.207515847318382
2022 -1.96723041148734 -3.55814675766797 1.59091634618063 1.06268645693996 -0.211854729846838
2023 -1.96741332638077 -3.56023884595788 1.59282551957711 1.06396172997192 -0.213338586539581
2024 -1.96728463258164 -3.56005885946877 1.59277422688713 1.06392746792722 -0.210003379044959
2025 -1.96717071620272 -3.55710776990966 1.58993705370694 1.06203231767508 -0.200651510326957
2026 -1.96717889178298 -3.55099094057395 1.58381204879098 1.05794099019045 -0.184563890851182
2027 -1.9671602259383 -3.54169414802855 1.57453392209025 1.05174346785416 -0.162064283080872
2028 -1.9668236626673 -3.52997996323137 1.56315630056407 1.04414354323393 -0.135152233643306
2029 -1.96654327638494 -3.51825604347623 1.5517127670913 1.03649959132517 -0.108386721212022
2030 -1.96609230974592 -3.50869629882694 1.54260398908102 1.03041518905347 -0.0864418475447415
2031 -1.96568609023463 -3.50310211963719 1.53741602940256 1.02694978089251 -0.0728269972905074
2032 -1.96560895520394 -3.50181541217007 1.53620645696613 1.026141821222 -0.0680888758000155
2033 -1.96547727009176 -3.50336051724418 1.53788324715242 1.02726186893939 -0.0698255738053546
2034 -1.96590574103952 -3.50693409827946 1.54102835723994 1.02936271220724 -0.0759186347428257
2035 -1.96624013468613 -3.51064259633306 1.54440246164694 1.03161651710793 -0.0832418648333653
2036 -1.96610247067569 -3.5132554402197 1.54715296954401 1.0334537774384 -0.0896506697815338
2037 -1.96596801489456 -3.51488112101801 1.54891310612345 1.03462949815422 -0.0947795641467382
2038 -1.96641912001652 -3.5161808405058 1.54976172048928 1.03519634819375 -0.0992302685339241
2039 -1.96634427256523 -3.51645293317973 1.5501086606145 1.03542809423956 -0.102572976566656
2040 -1.9662835570949 -3.51692911006906 1.55064555297416 1.03578672292599 -0.106576438177285
2041 -1.96618991946659 -3.51845925182825 1.55226933236166 1.0368713609513 -0.112815562715604
2042 -1.96607702664295 -3.5218270330653 1.55575000642235 1.03919635132191 -0.122686678729823
2043 -1.9656972807117 -3.52696224144435 1.56126496073265 1.04288018251157 -0.136181023680891
2044 -1.96556356590967 -3.53379128869369 1.56822772278402 1.04753110771744 -0.152567898017618
2045 -1.9657720869827 -3.54141917304975 1.57564708606705 1.05248702944074 -0.169902744210973
2046 -1.96532776229087 -3.54792040048993 1.58259263819906 1.05712645891444 -0.185264673328446
2047 -1.96538622239602 -3.5537207871162 1.58833456472017 1.06096190102639 -0.198287267938116
2048 -1.96541109112164 -3.55768049864386 1.59226940752222 1.06359026308073 -0.207187215823323
2049 -1.96568494570788 -3.55957241716933 1.59388747146144 1.06467108335063 -0.211203704218447
2050 -1.96530105974299 -3.55816009272582 1.59285903298283 1.06398411596505 -0.208804175652528
2051 -1.96501257547488 -3.55421338891858 1.5892008134437 1.06154053031073 -0.200856134954699
2052 -1.96466417172834 -3.54807617781916 1.58341200609082 1.05767377314873 -0.188301079747721
2053 -1.96470793932941 -3.54115310873408 1.57644516940467 1.05302012620377 -0.17360899665719
2054 -1.96484806750767 -3.53438848448874 1.56954041698106 1.04840794976426 -0.159085243547897
2055 -1.96494550091042 -3.52888982156092 1.5639443206505 1.04466991803399 -0.147190395774589
2056 -1.96487113315761 -3.52540584668758 1.56053471352998 1.04239239833966 -0.139655999314294
2057 -1.96513078301643 -3.52463745473254 1.55950667171611 1.04170569591474 -0.13748107167314
2058 -1.96494899867891 -3.52523042705093 1.56028142837203 1.04222321112391 -0.138850979862448
2059 -1.96524974762667 -3.52699699752042 1.56174724989375 1.04320233782857 -0.142585199362314
2060 -1.96567933157677 -3.52841211966119 1.56273278808442 1.04386064905313 -0.146091963484021
2061 -1.96527003937997 -3.5277264076902 1.56245636831023 1.04367600857774 -0.146919559605374
2062 -1.96538914390886 -3.52619007558253 1.56080093167367 1.04257022441868 -0.146222460775779
2063 -1.96522478727351 -3.52356036482528 1.55833557755177 1.04092343862558 -0.144295966128275
2064 -1.96524903276996 -3.52132096372093 1.55607193095096 1.03941138766718 -0.143555601627793
2065 -1.96504508962304 -3.52007709317364 1.5550320035506 1.03871674601162 -0.145541697053344
2066 -1.96514182400838 -3.52095187131516 1.55581004730678 1.03923645690942 -0.151889537566036
2067 -1.96508453547296 -3.52344350176761 1.55835896629465 1.04093906163452 -0.161981179836691
2068 -1.96503551646565 -3.52714196523244 1.56210644876679 1.04344227236607 -0.174758131878018
2069 -1.96497727323809 -3.53126159358494 1.56628432034685 1.04623297066874 -0.1885710219009
2070 -1.96473357457616 -3.53498635185211 1.57025277727595 1.04888378599515 -0.201851371942376
2071 -1.96516405467447 -3.53887851256128 1.57371445788681 1.05119608928643 -0.214716175611054
2072 -1.96523239065183 -3.54197574196096 1.57674335130913 1.05321930315757 -0.226114783703965
2073 -1.96546090993521 -3.54509672631569 1.57963581638048 1.05515138680601 -0.236997751556811
2074 -1.9658075540435 -3.54845853776286 1.58265098371936 1.05716543204737 -0.24771343822804
2075 -1.96563196059475 -3.55142343891455 1.58579147831979 1.05926319230233 -0.257539363952811
2076 -1.96553729555811 -3.55427180880472 1.58873451324662 1.06122905516277 -0.266378980562808
2077 -1.96531793725178 -3.55625237235049 1.59093443509871 1.06269853981806 -0.272935232019528
2078 -1.96508354463788 -3.55693375188438 1.5918502072465 1.06331024932838 -0.276260816683164
2079 -1.96531134300665 -3.55645530006868 1.59114395706203 1.06283849447588 -0.276184047312813
2080 -1.96539630917392 -3.55415525676076 1.58875894758684 1.06124537660073 -0.272024088602701
2081 -1.96553494231606 -3.55042250606716 1.5848875637511 1.0586594033145 -0.264415004614849
2082 -1.96516332218996 -3.54505485140905 1.57989152921909 1.05532219564276 -0.253587631320556
2083 -1.96491851085493 -3.53912624192441 1.57420773106948 1.05152558161458 -0.241141240681059
2084 -1.96508610943686 -3.53338941837445 1.56830330893759 1.04758159709856 -0.228388801047174
2085 -1.96478547020356 -3.5274268684879 1.56264139828433 1.04379960328973 -0.215467146500983
2086 -1.96456793568076 -3.52212254811368 1.55755461243292 1.04040177634136 -0.203692061467048
2087 -1.96473067454934 -3.51778394774419 1.55305327319485 1.03739501092729 -0.193502538850034
2088 -1.96474897721194 -3.51350041171572 1.54875143450378 1.03452150615256 -0.183740783667739
2089 -1.96510718478427 -3.50917025919591 1.54406307441164 1.03138981617581 -0.173865632232309
2090 -1.96531659361292 -3.50385772889634 1.53854113528342 1.02770131932826 -0.162641292910152
2091 -1.96547439508815 -3.49755462876893 1.53208023368078 1.02338562249779 -0.150080979274191
2092 -1.96545061846456 -3.49037417650918 1.52492355804462 1.01860516858297 -0.136660059919536
2093 -1.96584040804054 -3.48354501693391 1.51770460889337 1.01378311774743 -0.124304396381719
2094 -1.96560088742569 -3.47711427043694 1.51151338301125 1.00964755655807 -0.114170337184642
2095 -1.96603554991698 -3.47368019184387 1.50764464192689 1.00706334855391 -0.110140604313713
2096 -1.96644280487581 -3.47315746471914 1.50671465984333 1.00644214721433 -0.112778171185931
2097 -1.96604097617426 -3.47400561284473 1.50796463667048 1.00727709585817 -0.119879890434892
2098 -1.96588552526663 -3.47574182803434 1.50985630276771 1.00854067451672 -0.129530972742622
2099 -1.96543868933828 -3.47670480187 1.51126611253172 1.00948238697487 -0.139002273709994
2100 -1.96561237658297 -3.47761620130489 1.51200382472192 1.00997515754419 -0.148772993178825
2101 -1.96522492411446 -3.47783281097242 1.51260788685796 1.01037865371334 -0.158618975295392
2102 -1.96487538729838 -3.4788384360331 1.51396304873472 1.01128386295131 -0.170734527594099
2103 -1.96454974554795 -3.48146947620051 1.51691973065257 1.01325884161007 -0.186628343809992
2104 -1.9643550119533 -3.48633613103153 1.52198111907824 1.01663970380699 -0.207241958273378
2105 -1.9644693222201 -3.49365610637286 1.52918678415276 1.02145288126055 -0.232656537798416
2106 -1.96432842971697 -3.50258454620514 1.53825611648818 1.02751093495361 -0.261544918258312
2107 -1.96418599754479 -3.51299463181599 1.54880863427119 1.03455971395545 -0.293145593982421
2108 -1.96424633939123 -3.52464513026747 1.56039879087624 1.0423016059082 -0.326490155491664
2109 -1.96414493590653 -3.53649177419241 1.57234683828589 1.05028255864628 -0.359578390514578
2110 -1.96431952324614 -3.54789429961011 1.58357477636397 1.05778249901938 -0.390447892017654
2111 -1.96455037713254 -3.55727649254848 1.59272611541594 1.06389533084535 -0.415984456645781
2112 -1.96451144401688 -3.56312788032577 1.59861643630889 1.06782989613849 -0.433364657158504
2113 -1.9642022865582 -3.56488980396074 1.60068751740254 1.0692133188651 -0.441383487408712
2114 -1.96430105852026 -3.56346730444194 1.59916624592168 1.06819715317926 -0.441115646487284
2115 -1.96432688732766 -3.5592321568763 1.59490526954863 1.06535094326014 -0.433764674423118
2116 -1.96419788872804 -3.55322554354883 1.58902765482079 1.06142486532061 -0.421538287879152
2117 -1.9641877087005 -3.54677726571526 1.58258955701476 1.05712440077176 -0.406940161307352
2118 -1.9640064935946 -3.54041566806633 1.57640917447173 1.05299608262169 -0.391482568813774
2119 -1.96402013692522 -3.53508730499088 1.57106716806566 1.04942777566812 -0.376877737236812
2120 -1.96420895422104 -3.53115995834816 1.56695100412712 1.04667829629887 -0.364061056187261
2121 -1.96422912430298 -3.52839352460677 1.56416440030379 1.04481692492569 -0.353086095836041
2122 -1.96432716195869 -3.52676680119771 1.56243963923902 1.04366483403833 -0.343855329441147
2123 -1.96470780654821 -3.52598201534356 1.56127420879535 1.04288635995201 -0.335744987404738
2124 -1.96468877214844 -3.52489815714093 1.56020938499249 1.04217508821416 -0.327322620355533
2125 -1.96508053370873 -3.52405811476299 1.55897758105426 1.04135227853853 -0.31900289940294
2126 -1.96518513762265 -3.52260430885125 1.55741917122859 1.04031130550429 -0.309905297055221
2127 -1.96547981032529 -3.52085917400228 1.55537936367699 1.03894877260616 -0.300336606436601
2128 -1.96572717365043 -3.51848800284575 1.55276082919532 1.03719966672929 -0.290012673184548
2129 -1.96534775718943 -3.51502208290022 1.54967432571079 1.03513797099011 -0.278707586570209
2130 -1.96505585075268 -3.51155664597018 1.5465007952175 1.03301814370693 -0.267982446057797
2131 -1.9651223658261 -3.50889039796269 1.54376803213659 1.03119273640435 -0.259200468849521
2132 -1.96527474955787 -3.50718010969688 1.54190536013901 1.02994852497218 -0.252945012398365
2133 -1.96541864020066 -3.50644887155565 1.54103023135499 1.0293639640623 -0.24933870004772
2134 -1.96560885856738 -3.50651867097091 1.54090981240353 1.02928352765898 -0.247941617546987
2135 -1.96541629647271 -3.50651461907771 1.541098322605 1.02940944706296 -0.247387725599632
2136 -1.9654061801366 -3.50654578112403 1.54113960098743 1.02943701983766 -0.247268545599612
2137 -1.96544002186489 -3.50617656531031 1.54073654344542 1.02916778896811 -0.246783342857056
2138 -1.96517636910174 -3.50501480518562 1.53983843608388 1.02856787902798 -0.245411942003789
2139 -1.96521793044032 -3.50386954631629 1.53865161587598 1.02777511719309 -0.24407585916035
2140 -1.96544561240837 -3.50302883091219 1.53758321850382 1.02706145841351 -0.243370453585885
2141 -1.96500488649918 -3.50214973022282 1.53714484372363 1.02676863664253 -0.243359830644068
2142 -1.96546663759931 -3.50330626958414 1.53783963198483 1.02723273525927 -0.246501939397446
2143 -1.96549579393803 -3.50554266031482 1.54004686637679 1.0287071044813 -0.25211473070139
2144 -1.96560164866389 -3.50951254850623 1.54391089984234 1.03128816793121 -0.260916991281859
2145 -1.96571729602958 -3.51504490846814 1.54932761243856 1.03490637647559 -0.272584950248562
2146 -1.96631306903082 -3.52233450972593 1.55602144069511 1.03937766162543 -0.28700256057928
2147 -1.96630500020751 -3.52993635826039 1.56363135805288 1.0444608680014 -0.302340574540972
2148 -1.96662124127665 -3.53835103583701 1.57172979456036 1.04987039114795 -0.318633039007007
2149 -1.96630291801307 -3.54607622869009 1.57977331067702 1.05524322904975 -0.333806116635867
2150 -1.96629522647998 -3.55344262432913 1.58714739784916 1.06016890763049 -0.347521841759199
2151 -1.96646386297524 -3.5597764702883 1.59331260731306 1.0642870905992 -0.358498338500835
2152 -1.96623883741944 -3.56417032647121 1.59793148905177 1.06737237103001 -0.365415852543206
2153 -1.96584851254362 -3.56672995095745 1.60088143841383 1.06934285253474 -0.368167738084275
2154 -1.96536529104606 -3.56753087281654 1.60216558177048 1.07020062343964 -0.366758480959543
2155 -1.96558332117156 -3.56742225654816 1.6018389353766 1.0699824330239 -0.362055701676092
2156 -1.96512683518504 -3.56512028912455 1.5999934539395 1.06874970439273 -0.352894887528222
2157 -1.96496018292868 -3.56173661574799 1.59677643281931 1.06660082661903 -0.340605300448131
2158 -1.96459865111539 -3.55701294192889 1.59241429081349 1.06368704096087 -0.325255804398303
2159 -1.96480598799377 -3.55200083018738 1.58719484219361 1.06020059909084 -0.308318734913955
2160 -1.96529103014503 -3.54677083417803 1.58147980403301 1.05638311763196 -0.290396983180735
2161 -1.96548573679774 -3.54123447089827 1.57574873410053 1.05255492740962 -0.272047795693464
2162 -1.96538671923805 -3.53597997826882 1.57059325903077 1.0491112180349 -0.254600438472789
2163 -1.96573781003507 -3.53239876372443 1.56666095368936 1.04648455093144 -0.240209628491952
2164 -1.96546697494144 -3.52999531981226 1.56452834487082 1.04506002945057 -0.229039642406243
2165 -1.96566687686611 -3.53015915868082 1.56449228181471 1.04503594036416 -0.222830107952667
2166 -1.96548316031066 -3.53188662896501 1.56640346865435 1.04631255831836 -0.220466726054052
2167 -1.96559522336314 -3.53527921988928 1.56968399652614 1.04850385677937 -0.221491194318717
2168 -1.96512566145588 -3.53868663065785 1.57356096920197 1.05109356325037 -0.223496389510966
