# Fix print output for fix statdump
2000 -3.43896115453101 -5.34819181797222 1.90923066344121 1.27340005087442 2.13085156678989
2001 -3.43898023635189 -5.34640606186913 1.90742582551724 1.27219627767498 2.13962660185568
2002 -3.43919705306207 -5.34465082229652 1.90545376923445 1.27088097480513 2.14872813326039
2003 -3.43916174138126 -5.3420825474301 1.90292080604884 1.26919156371867 2.15992255385751
2004 -3.43919508868878 -5.33896413018448 1.89976904149569 1.26708943053007 2.1727236072935
2005 -3.43922187478504 -5.33536317464474 1.89614129985969 1.26466983478802 2.18671021247465
2006 -3.43904013702155 -5.33144172490499 1.89240158788343 1.26217555816026 2.20103786627413
2007 -3.43911889909435 -5.32820176633981 1.88908286724545 1.2599620702302 2.21328403542756
2008 -3.43910459756502 -5.32560117755879 1.88649657999377 1.25823709357812 2.22300324298627
2009 -3.43908173201563 -5.32356132336671 1.88447959135108 1.25689182216099 2.23053316920901
2010 -3.4391123929497 -5.32184747069837 1.88273507774867 1.25572828348932 2.23668104753512
2011 -3.43872821213981 -5.3201555741117 1.88142736197189 1.25485607597215 2.24168782363748
2012 -3.43860981628243 -5.31994222386942 1.881332407587 1.25479274422241 2.24209645646242
2013 -3.43843791850485 -5.32175729507364 1.88331937656879 1.25611799341883 2.23579661093797
2014 -3.43860482995134 -5.32625624981512 1.88765141986378 1.2590073374137 2.22147099177946
2015 -3.43866897573249 -5.33245249681129 1.8937835210788 1.26309726648759 2.2016887383021
2016 -3.43864774940513 -5.33931665628404 1.90066890687891 1.26768961396872 2.17985924875223
2017 -3.43879604704023 -5.34591102808362 1.90711498104339 1.27198895365887 2.15947361406242
2018 -3.43882769315858 -5.35084303355532 1.91201534039674 1.27525734755666 2.14463803907686
2019 -3.43888252606356 -5.35349523355867 1.91461270749511 1.27698971413684 2.13766678128272
2020 -3.43896442405973 -5.35376960489404 1.91480518083432 1.27711808812781 2.13902242154965
2021 -3.43856272977241 -5.35175550993343 1.91319278016102 1.27604266484935 2.14777536744384
2022 -3.43866957511736 -5.3493846800106 1.91071510489324 1.27439012915921 2.15948978816795
2023 -3.43882586733587 -5.34689237738546 1.90806651004959 1.27262359519701 2.17271272351706
2024 -3.43875771019391 -5.34407063337451 1.9053129231806 1.27078703467753 2.18757817368998
2025 -3.43869040678464 -5.34073087192975 1.90204046514511 1.26860440252696 2.20486328647274
2026 -3.43881621720338 -5.3367171884591 1.89790097125571 1.26584348325707 2.22512931383117
2027 -3.43855998914821 -5.33157197063693 1.89301198148872 1.26258267253513 2.24868498813583
2028 -3.43854920517588 -5.3263802239585 1.88783101878262 1.25912712454931 2.27285122605831
2029 -3.43852531395199 -5.32125820668256 1.88273289273057 1.25572682614725 2.29662271575148
2030 -3.438496354438 -5.31623836410071 1.87774200966271 1.25239805562507 2.31965858571219
2031 -3.43859351555548 -5.3112418766778 1.87264836112232 1.24900074359009 2.34213764574646
2032 -3.43867832319376 -5.30605514209772 1.86737681890395 1.24548478176442 2.36427747346763
2033 -3.43863148297407 -5.30081111851569 1.86217963554161 1.24201841508346 2.38529310530937
2034 -3.43882532018673 -5.29634621417556 1.85752089398883 1.23891117307027 2.40300296006311
2035 -3.43886421213393 -5.29279246842702 1.85392825629309 1.236514990612 2.4163195251239
2036 -3.43880719270717 -5.29068746164075 1.85188026893357 1.235149043973 2.42363510019156
2037 -3.43882192020403 -5.29045761700457 1.85163569680054 1.23498592163655 2.42389028695471
2038 -3.43875771995244 -5.29194398675392 1.85318626680148 1.23602010569607 2.41742457135648
2039 -3.43880810774229 -5.29522800653061 1.85641989878831 1.2381768420273 2.40440911424348
2040 -3.43866471007488 -5.29990275081508 1.8612380407402 1.24139039936436 2.38580294288831
2041 -3.43870996183118 -5.30619954746119 1.86748958563001 1.24555999381576 2.3616672496318
2042 -3.43872334317879 -5.31360361099487 1.87488026781609 1.25048935895323 2.33351808510033
2043 -3.43878617483844 -5.32176988509803 1.88298371025959 1.25589411397703 2.3028280022199
2044 -3.4386247919963 -5.32991288141594 1.89128808941965 1.26143288781268 2.2719128406658
2045 -3.43889547583163 -5.33813896838916 1.89924349255753 1.26673890502395 2.24173722959876
2046 -3.43916667600497 -5.34542441471471 1.90625773870974 1.2714171985262 2.21510725336892
2047 -3.43929922931908 -5.35091454897217 1.91161531965309 1.27499054562169 2.19468646864738
2048 -3.43916118973057 -5.35362349110846 1.91446230137789 1.2768893977314 2.18348660417178
2049 -3.4390976673027 -5.35311779037517 1.91402012307247 1.27659447795696 2.18343210284838
2050 -3.43918017403586 -5.34922268964916 1.91004251561329 1.27394153211973 2.19514888620205
2051 -3.43897726739283 -5.34221086264863 1.90323359525579 1.2694001848139 2.21705901266068
2052 -3.43882778057949 -5.33398671884737 1.89515893826788 1.26401462883259 2.24362672856965
2053 -3.43884648757962 -5.32632263050968 1.88747614293006 1.25889043291358 2.26931802893883
2054 -3.43904905462417 -5.32015813457379 1.88110907994962 1.25464379133252 2.29098412765067
2055 -3.43914071735909 -5.31524548913406 1.87610477177498 1.25130606666352 2.30867460550441
2056 -3.43926707258553 -5.31137717358422 1.87211010099869 1.24864174010143 2.32299560129097
2057 -3.43917590525225 -5.30808149488365 1.8689055896314 1.24650442635707 2.33482403132725
2058 -3.43910375050018 -5.30561094302437 1.86650719252419 1.24490476684142 2.34355940903345
2059 -3.43894362309226 -5.30385670495471 1.86491308186244 1.24384154245652 2.34924456589131
2060 -3.43901831574023 -5.3030286551873 1.86401033944707 1.24323944012301 2.35162947225911
2061 -3.43910795631771 -5.30290650177191 1.8637985454542 1.24309817983087 2.35099504185997
2062 -3.43901748007864 -5.30360807272347 1.86459059264483 1.24362645174278 2.34663689913301
2063 -3.43891102583199 -5.30594559639918 1.86703457056719 1.24525651230605 2.33632491639506
2064 -3.43911141476636 -5.31112171248109 1.87201029771473 1.24857517428029 2.31696200413573
2065 -3.43902685332211 -5.31924091379716 1.88021406047506 1.25404683997076 2.28754403563582
2066 -3.43910302583653 -5.33049955291682 1.89139652708029 1.26150521250619 2.24839102656154
2067 -3.43956197305026 -5.3434544144069 1.90389244135664 1.26983961556179 2.20459353476452
2068 -3.43961022551856 -5.35471379188703 1.91510356636846 1.27731710240179 2.16574583118308
2069 -3.43978309921688 -5.36243134450108 1.92264824528419 1.28234917877637 2.13859852727506
2070 -3.43947050229774 -5.36481296198586 1.92534245968812 1.28414613962805 2.12794174969723
2071 -3.43938569338182 -5.36290677245091 1.92352107906909 1.28293133294317 2.13167937947678
2072 -3.43921094752181 -5.35788952458744 1.91867857706562 1.27970152817643 2.14565804238875
2073 -3.43920630204936 -5.3518260046795 1.91261970263014 1.27566043918592 2.16372143495467
2074 -3.43912336333674 -5.34570567648661 1.90658231314987 1.27163368002133 2.18221166390572
2075 -3.43926394988726 -5.34034042372971 1.90107647384245 1.26796144900785 2.19883512754291
2076 -3.43900225810421 -5.33533636394617 1.89633410584196 1.26479843064201 2.21365204790498
2077 -3.43903915355878 -5.33156312148772 1.89252396792894 1.26225718200968 2.22487497985757
2078 -3.43917632271777 -5.32878508994762 1.88960876722985 1.2603128298737 2.23287775957205
2079 -3.43922737727304 -5.32654738226361 1.88732000499057 1.25878629355321 2.23877171961752
2080 -3.43918984904318 -5.32457249594221 1.88538264689903 1.25749413334462 2.24342141529619
2081 -3.43911222018708 -5.32279516159305 1.88368294140597 1.25636048034879 2.2471140794298
2082 -3.43928923368712 -5.32156408606615 1.88227485237903 1.25542132685997 2.24922139219357
2083 -3.43953997519848 -5.32088162729299 1.88134165209451 1.25479891003389 2.24947687759204
2084 -3.43953600769213 -5.32071819072972 1.88118218303759 1.2546925489173 2.24748720871375
2085 -3.43941136083976 -5.32159372734974 1.88218236650998 1.25535964153686 2.24186930003753
2086 -3.43953486059714 -5.32410454867218 1.88456968807504 1.2569519139954 2.23136857629035
2087 -3.43932858880823 -5.32741517840776 1.88808658959953 1.25929758268068 2.21779224019209
2088 -3.43948570267181 -5.33157034607049 1.89208464339869 1.26196416561837 2.20218395951508
2089 -3.43946914182999 -5.33542041612571 1.89595127429572 1.26454309339031 2.18744541129959
2090 -3.43929902893289 -5.33858988943102 1.89929086049813 1.26677049803108 2.17493525462706
2091 -3.43941806229479 -5.34123826193086 1.90182019963608 1.26845749198557 2.16499553392223
2092 -3.4393513746893 -5.34265031821561 1.90329894352631 1.26944377016615 2.15926424336487
2093 -3.43951023806428 -5.34308149557879 1.90357125751451 1.26962539549465 2.15766323176989
2094 -3.43944635916936 -5.34202532962328 1.90257897045392 1.26896356954683 2.16114970879507
2095 -3.43924458789232 -5.33954513844653 1.90030055055421 1.26744393125914 2.16965655325399
2096 -3.43964068118153 -5.33636063094749 1.89671994976596 1.26505577706005 2.18200455934061
2097 -3.43922164256075 -5.33109832356655 1.8918766810058 1.26182546088942 2.20023214504723
2098 -3.43924093026786 -5.32529025376607 1.88604932349821 1.25793878680193 2.22136251821717
2099 -3.43914173175934 -5.31905705090848 1.87991531914915 1.25384758839426 2.24405413155222
2100 -3.43893926673034 -5.3132531134552 1.87431384672486 1.25011157293701 2.26553950580723
2101 -3.4385884058693 -5.30836327597428 1.86977487010498 1.24708421057093 2.28411518364436
2102 -3.43856785181224 -5.30497356255542 1.86640571074318 1.24483708151268 2.29856073009314
2103 -3.4383809848126 -5.30250377849852 1.86412279368592 1.24331444375469 2.30980137046384
2104 -3.43857632109519 -5.30139188357755 1.86281556248236 1.24244255943344 2.31719827317808
2105 -3.43838720481358 -5.30084359600948 1.8624563911959 1.2422030028711 2.32198707119529
2106 -3.43837905294535 -5.30158844175432 1.86320938880898 1.24270522987654 2.32270572996543
2107 -3.43826687684686 -5.30354911586013 1.86528223901327 1.24408775929331 2.3191246673755
2108 -3.43819981655945 -5.30676747786188 1.86856766130243 1.24627903821537 2.3113005097366
2109 -3.43851220793559 -5.31099449232991 1.87248228439432 1.24888997535347 2.30047513104464
2110 -3.43862685987352 -5.31484920359472 1.8762223437212 1.25138448365376 2.29003720568035
2111 -3.43863184407081 -5.31787929011964 1.87924744604883 1.25340213690628 2.28151139218925
2112 -3.43865613862083 -5.32025246807188 1.88159632945105 1.25496877225378 2.27458611904196
2113 -3.43876253046404 -5.32254937754515 1.8837868470811 1.2564297823428 2.26760918782565
2114 -3.43877458163418 -5.3251204830782 1.88634590144402 1.25813659546828 2.25932023519706
2115 -3.43879898843548 -5.3281009940954 1.88930200565992 1.26010822903304 2.24955766418186
2116 -3.43873176755114 -5.33083285057992 1.89210108302878 1.26197513036255 2.24030870374778
2117 -3.43877677782953 -5.3327753879813 1.89399861015177 1.26324072450013 2.2336584644934
2118 -3.43872930199489 -5.33329799132562 1.89456868933073 1.26362095035204 2.23135010619321
2119 -3.43853627243111 -5.33250663505761 1.8939703626265 1.26322188424117 2.23307577473349
2120 -3.43861037354287 -5.33144381851941 1.89283344497654 1.26246359399316 2.23630971783446
2121 -3.43857973100148 -5.33040323605907 1.89182350505759 1.261789994114 2.23962454756329
2122 -3.43856077511023 -5.32970846053616 1.89114768542593 1.26133924252604 2.24217345420609
2123 -3.4385611041951 -5.3290171722728 1.89045606807769 1.26087795433111 2.24496671537616
2124 -3.43843719858984 -5.32763378502774 1.8891965864379 1.26003791754829 2.24985721651975
2125 -3.43857692075649 -5.32556752720029 1.8869906064438 1.25856659452248 2.25730066499466
2126 -3.43858986207726 -5.32234121931766 1.8837513572404 1.25640611167491 2.26809171133249
2127 -3.43856533939652 -5.31820612388832 1.8796407844918 1.2536644819455 2.28151168330618
2128 -3.43852406911456 -5.31349840870871 1.87497433959415 1.25055210203046 2.29649269497063
2129 -3.43844174122508 -5.30855285514503 1.87011111391995 1.24730847519191 2.31192886966775
2130 -3.43832465617001 -5.30368482863656 1.86536017246654 1.24413973858804 2.32685188887709
2131 -3.43842610606349 -5.29929529154084 1.86086918547735 1.24114438387788 2.34041527805437
2132 -3.43859476703021 -5.29506851063453 1.85647374360432 1.23821275491764 2.35339279387691
2133 -3.43865624251699 -5.29036307680629 1.8517068342893 1.23503336822513 2.3675125220926
2134 -3.43881545986289 -5.28507691436897 1.84626145450608 1.23140146191556 2.38339870620822
2135 -3.43874452453707 -5.27943763024773 1.84069310571067 1.22768753893331 2.39986790795656
2136 -3.43868843673909 -5.27540500319397 1.83671656645488 1.22503530555597 2.41125545473337
2137 -3.43870032867336 -5.2751095530173 1.83640922434394 1.22483031751173 2.41101969971761
2138 -3.43902844712471 -5.27948636029435 1.84045791316964 1.22753067250568 2.39655694949551
2139 -3.43915950260241 -5.28669414247943 1.84753463987702 1.23225063867936 2.37278958481704
2140 -3.43935304434751 -5.29515756155232 1.85580451720481 1.23776640081936 2.34494893175788
2141 -3.43911049002411 -5.30335654592197 1.86424605589786 1.24339665598288 2.31697799881576
2142 -3.43912178913774 -5.31158874089973 1.87246695176198 1.24887974894386 2.28910094997776
2143 -3.43914703735018 -5.31924707562779 1.88010003827761 1.25397079055735 2.26301319897332
2144 -3.43923351313919 -5.32591388549432 1.88668037235513 1.25835967761513 2.24025308666188
2145 -3.43906906120507 -5.33095375991576 1.89188469871069 1.26183080846005 2.22248716972107
2146 -3.43893569201017 -5.33463553042526 1.89569983841509 1.26437539313842 2.20946071724187
2147 -3.43885978271232 -5.33718582355165 1.89832604083933 1.26612699202308 2.20066015938528
2148 -3.43914531313264 -5.339019887266 1.89987457413336 1.26715981765969 2.19537978843885
2149 -3.43928442251303 -5.33943617690323 1.9001517543902 1.26734468864459 2.19509219650218
2150 -3.43928698674027 -5.33804042644258 1.89875343970231 1.26641205434911 2.20102633484412
2151 -3.43941419224271 -5.33481837997547 1.89540418773276 1.26417820292922 2.21355295442401
2152 -3.43943209147279 -5.32971292534133 1.89028083386854 1.26076107832701 2.23236910381219
2153 -3.43948431448758 -5.32355239197608 1.8840680774885 1.25661735465763 2.25494591695635
2154 -3.43929396821865 -5.31703153304813 1.87773756482949 1.25239509105355 2.27852579356426
2155 -3.43921347772492 -5.31147196507907 1.87225848735415 1.24874070938587 2.29935805187576
2156 -3.43902585217858 -5.30734014385145 1.86831429167287 1.24611004821047 2.31549623570752
2157 -3.43888094462372 -5.30490650388841 1.86602555926469 1.24458353178644 2.32617719128264
2158 -3.43882121701252 -5.30379176338622 1.8649705463737 1.2438798695759 2.33252882092385
2159 -3.43886060099619 -5.30340607974729 1.8645454787511 1.24359636211784 2.33631334317908
2160 -3.43874912266022 -5.30301716146105 1.86426803880083 1.24341131792514 2.3393794774937
2161 -3.43867430141647 -5.3025456963879 1.86387139497143 1.24314676829151 2.34227768702372
2162 -3.43861147847122 -5.3020445460769 1.86343306760568 1.24285441697926 2.34487576648316
2163 -3.43845926392658 -5.30194426659291 1.86348500266633 1.24288905611959 2.34576439521637
2164 -3.43851137026821 -5.30328040104642 1.86476903077821 1.24374546466901 2.34226287936124
2165 -3.43865488231576 -5.3064213712118 1.86776648889604 1.24574468005604 2.33314270307255
2166 -3.43892528517803 -5.31135531279917 1.87243002762113 1.24885512164045 2.31854769405739
2167 -3.43860000936693 -5.31678038187588 1.87818037250895 1.25269043060175 2.30148184746329
2168 -3.43877743720377 -5.32285237901944 1.88407494181567 1.25662193295963 2.28319590793098
2169 -3.43858222467605 -5.32768066015224 1.88909843547619 1.25997245377692 2.26832680375138
2170 -3.43839124332519 -5.33084796149954 1.89245671817435 1.26221232842412 2.25881620608904
2171 -3.43846440573506 -5.33220835260006 1.893743946865 1.26307087166436 2.25554887354625
2172 -3.43841666098379 -5.33140449708765 1.89298783610386 1.26256656828178 2.25902972166241
2173 -3.43848454254449 -5.3291194366153 1.89063489407081 1.26099722594826 2.26741229380524
2174 -3.43864698783829 -5.32607934671006 1.88743235887177 1.25886123024932 2.27827845706024
2175 -3.43843316293418 -5.32262048150338 1.8841873185692 1.25669688491091 2.28971600522007
2176 -3.43827411046989 -5.31976750317889 1.88149339270901 1.25490011650932 2.29903352292294
2177 -3.43823466548917 -5.31785422716307 1.8796195616739 1.25365032695737 2.30515419976647
2178 -3.43829612878775 -5.31692202232641 1.87862589353867 1.25298757987385 2.30783587680541
2179 -3.43826633515516 -5.31676018168808 1.87849384653292 1.25289950844955 2.3073907660879
2180 -3.43842462155222 -5.31750461135938 1.87907998980716 1.25329044857508 2.30378472678498
2181 -3.43815408334701 -5.31814818753055 1.87999410418354 1.25390013566826 2.29918570552231
2182 -3.43841257049718 -5.31910726163779 1.8806946911406 1.25436740632541 2.29371633246218
2183 -3.43833961136004 -5.31913501650539 1.88079540514535 1.25443457957023 2.28991305625101
2184 -3.43836978944631 -5.31865039077323 1.88028060132692 1.2540912207393 2.28710353066245
2185 -3.43836068735655 -5.31792787100135 1.8795671836448 1.25361539237026 2.28421769275175
2186 -3.43853177000568 -5.31789887407395 1.87936710406827 1.25348194524529 2.27870151505148
2187 -3.43849052238987 -5.318873235105 1.88038271271513 1.25415932599731 2.26903673326633
2188 -3.43843034791829 -5.32155716942724 1.88312682150895 1.25598956492264 2.25341631570511
2189 -3.4385954699951 -5.3265032201748 1.8879077501797 1.25917830210832 2.2306424237927
2190 -3.4385905343381 -5.33328523181747 1.89469469747937 1.2637049940383 2.20163148516018
2191 -3.43890261917098 -5.34180397032617 1.90290135115519 1.26917858788341 2.16764475766571
2192 -3.43934048919789 -5.35079231159044 1.91145182239254 1.27488149781312 2.13255980245172
2193 -3.43928351478844 -5.35842345387718 1.91913993908874 1.28000924291984 2.10133531989081
2194 -3.43969844237116 -5.36472933904125 1.92503089667009 1.28393833636435 2.07556201625377
2195 -3.43972106943357 -5.36842159671342 1.92870052727984 1.28638587080565 2.05816111054439
2196 -3.4395920251337 -5.36982657696389 1.93023455183019 1.28740901954187 2.04868132255734
2197 -3.43972254313129 -5.36972182152521 1.92999927839392 1.28725209915952 2.0454891842467
2198 -3.43973222540453 -5.36804614580782 1.92831392040329 1.28612801552096 2.04829165867096
2199 -3.43991899803173 -5.36518963297805 1.92527063494632 1.28409823466213 2.05633365797655
2200 -3.44004179794285 -5.36084532035788 1.92080352241503 1.28111880350511 2.07011383437619
2201 -3.44005649938917 -5.3548959565428 1.91483945715363 1.27714094941303 2.08973470080736
2202 -3.43990699230038 -5.34737532383788 1.90746833153751 1.2722246279259 2.11475370751102
2203 -3.43973874402629 -5.33893892130843 1.89920017728214 1.26671001502394 2.14307151877385
2204 -3.43962484362325 -5.33069837470301 1.89107353107976 1.26128978378331 2.17106212629563
2205 -3.43953638787449 -5.32381871379269 1.8842823259182 1.25676025198612 2.19482969855217
2206 -3.43955433319482 -5.31910529019221 1.87955095699739 1.2536045696792 2.21181810997401
2207 -3.43966533880354 -5.31647565530251 1.87681031649897 1.25177664400371 2.22216369074816
2208 -3.43956579198913 -5.31485868027081 1.87529288828168 1.25076456452789 2.22869583591331
2209 -3.43971563100149 -5.31362066220862 1.87390503120713 1.24983890514938 2.23408288755372
2210 -3.43962488792706 -5.31133562193091 1.87171073400385 1.24837537419747 2.24206139674119
2211 -3.43945937323462 -5.30779962700076 1.86834025376614 1.24612736415428 2.25358147259275
2212 -3.43928658015764 -5.30344095099279 1.86415437083514 1.24333550477377 2.26748630773794
2213 -3.43925156366878 -5.29926224916778 1.860010685499 1.24057178993361 2.28093292554955
2214 -3.43911567071777 -5.29583437427513 1.85671870355736 1.23837613591849 2.2918011873665
2215 -3.43905504357749 -5.29368769901054 1.85463265543305 1.23698480388173 2.29869704847058
2216 -3.4391104158172 -5.29277786478813 1.85366744897092 1.23634103988741 2.30177279641037
2217 -3.4391405979813 -5.29276404105229 1.853623443071 1.23631168926138 2.30181674666713
2218 -3.43906424203116 -5.2935679055769 1.85450366354574 1.23689877013054 2.29891561622966
2219 -3.43919184046468 -5.29572675611406 1.85653491564938 1.23825355485176 2.29187328109397
2220 -3.43892026304829 -5.29883825846422 1.85991799541592 1.24050996840582 2.28107377476449
2221 -3.43906306882525 -5.30365817785742 1.86459510903216 1.24362946403876 2.26546747761479
2222 -3.43901327770562 -5.30922845600195 1.87021517829633 1.24737788303492 2.24719960707813
2223 -3.43874703736134 -5.31495545156339 1.87620841420204 1.2513751930789 2.22818640882229
2224 -3.43868257073547 -5.32059190539345 1.88190933465798 1.25517753741457 2.20996362922312
2225 -3.43838545801036 -5.32513249629632 1.88674703828596 1.2584041418076 2.19513260357024
2226 -3.43819888932637 -5.32861095560047 1.8904120662741 1.26084860643722 2.18422259246795
2227 -3.43826022158553 -5.33108361982971 1.89282339824418 1.26245689312157 2.17735776936176
2228 -3.43858069784558 -5.33253106266567 1.89395036482009 1.26320854629925 2.17465908383897
2229 -3.43843170866789 -5.33224584994425 1.89381414127636 1.26311768924838 2.17722485855096
2230 -3.43824856036006 -5.33091416576798 1.89266560540792 1.2623516499943 2.18357947117591
2231 -3.43806004500043 -5.32908973831945 1.89102969331902 1.26126054530112 2.19204396359587
2232 -3.43789393294561 -5.32737890246731 1.88948496952171 1.26023026048549 2.20077006704408
2233 -3.43792936191033 -5.32616499552977 1.88823563361945 1.25939699060775 2.20880289753159
2234 -3.43800629130515 -5.32479462405123 1.88678833274608 1.25843168398395 2.21783690259091
2235 -3.43800078282823 -5.3221165620214 1.88411577919316 1.25664917027546 2.23109106857252
2236 -3.43814981787849 -5.3174715967738 1.87932177889531 1.2534517147034 2.25073804115746
2237 -3.4379583811965 -5.31025248570017 1.87229410450367 1.24876446496495 2.27764942751666
2238 -3.43746402446803 -5.30130598961793 1.8638419651499 1.24312713947612 2.30896568165122
2239 -3.43726324954547 -5.29262179891264 1.85535854936717 1.23746895353967 2.33913641265178
2240 -3.43719909905254 -5.28550766075987 1.84830856170732 1.23276682151518 2.36363266647629
2241 -3.43749635349896 -5.28129870307356 1.8438023495746 1.22976131208725 2.37848311557695
2242 -3.43766183939742 -5.28006317532295 1.84240133592553 1.22882687766497 2.38266843237651
2243 -3.43780970574034 -5.28190886106886 1.84409915532852 1.22995927269483 2.37608989496073
2244 -3.43822496904119 -5.28650740692804 1.84828243788685 1.23274939770413 2.36036780504965
2245 -3.4384005183853 -5.29208876506783 1.85368824668253 1.2363549113423 2.34047692468273
2246 -3.4385381962844 -5.29717624020094 1.85863804391655 1.23965627883566 2.32156933575593
2247 -3.43878220934444 -5.30037383405486 1.86159162471041 1.241626229353 2.30842303450144
2248 -3.43898741331166 -5.30071246548476 1.8617250521731 1.241715221501 2.30400242315112
2249 -3.43903420825422 -5.29830333145092 1.8592691231967 1.24007718994024 2.30790028372392
2250 -3.43879424883278 -5.29431748685408 1.8555232380213 1.23757879597231 2.31632851767529
2251 -3.43890332683958 -5.29139524532238 1.8524919184828 1.23555699602511 2.3220393921934
2252 -3.43871204556716 -5.29086179818308 1.85214975261592 1.2353287815717 2.31989395047931
2253 -3.43864647976966 -5.29432694455808 1.85568046478843 1.23768366154832 2.30549501758206
2254 -3.43871642968338 -5.30178967482747 1.86307324514409 1.24261442610248 2.27887116324083
2255 -3.43895882725447 -5.31218667933295 1.87322785207849 1.24938724681737 2.24344150630457
2256 -3.43921127592033 -5.32367862549844 1.8844673495781 1.25688365726263 2.20481209472523
2257 -3.43934869509896 -5.3344170757637 1.89506838066474 1.26395422960548 2.16873634498486
2258 -3.4394088764746 -5.34299291373885 1.90358403726424 1.26963391920751 2.13986598941713
2259 -3.43930555382283 -5.3482804967872 1.90897494296437 1.27322949292432 2.12174518375272
2260 -3.43935639042936 -5.35007000719067 1.91071361676131 1.27438913661949 2.1155953906668
2261 -3.43934909091058 -5.34826572388435 1.90891663297377 1.27319060189538 2.12141613130675
2262 -3.43912384288775 -5.34351400519878 1.90439016231103 1.27017158063064 2.13692860414586
2263 -3.43873313992342 -5.3371761813026 1.89844304137918 1.26620502790226 2.15789765963035
2264 -3.43898065756842 -5.33141705288607 1.89243639531766 1.26219877368333 2.17869395951632
